,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Movie,Instruments of Darkness,2014,,tt0338258
1,Movie,A Walk Among the Tombstones,2014,10.0,tt0365907
2,Movie,The Ninth Cloud,2014,3.0,tt0424859
3,Movie,The Giver,2014,8.0,tt0435651
4,Movie,Before We Go,2014,11.0,tt0443465
5,Movie,A Long Way Down,2014,3.0,tt0458413
6,Movie,Ex Machina,2014,4.0,tt0470752
7,Movie,Dil Ka Sauda,2014,1.0,tt0485535
8,Movie,Kid Cannabis,2014,7.0,tt0780548
9,Movie,Interstellar,2014,11.0,tt0816692
10,Movie,Dracula Untold,2014,10.0,tt0829150
11,Movie,Electric Slide,2014,4.0,tt0835775
12,Movie,Bhopal: A Prayer for Rain,2014,11.0,tt0839742
13,Movie,Suite Française,2014,3.0,tt0900387
14,Movie,Love & Mercy,2014,6.0,tt0903657
15,Movie,A Merry Christmas Miracle,2014,11.0,tt0910885
16,Movie,Coffee Sex You,2014,11.0,tt0949872
17,Movie,Out of Sight,2014,11.0,tt0959306
18,Movie,Avenge,2014,4.0,tt0961036
19,Movie,Zvyozdy svetyat vsem,2014,11.0,tt10035404
20,Movie,Prathighatana,2014,4.0,tt10039008
21,Movie,Gafas de ver,2014,9.0,tt10048070
22,Movie,Boris Secret Private Life,2014,,tt10078810
23,Movie,Healing Mate,2014,10.0,tt10078844
24,Movie,Wu cai shen jian,2014,6.0,tt10097458
25,Movie,Fingertips of an Angel,2014,10.0,tt10106844
26,Movie,The Sisterhood of Night,2014,10.0,tt1015471
27,Movie,Shao nian qi wang,2014,,tt10167934
28,Movie,Mummy Dearest,2014,9.0,tt10183622
29,Movie,Dazzling Mirage,2014,10.0,tt10183654
30,Movie,Apnea,2014,5.0,tt10197886
31,Movie,Selma,2014,2.0,tt1020072
32,Movie,Zahreela,2014,10.0,tt10225036
33,Movie,"Legs Wide Spread, the Motion Picture",2014,12.0,tt10265840
34,Movie,Little Sami,2014,9.0,tt10294126
35,Movie,Beautiful Girl,2014,12.0,tt1031658
36,Movie,Qing chun xu,2014,8.0,tt10363350
37,Movie,Acto de Fe,2014,10.0,tt10362526
38,Movie,Aamhi Bolato Marathi Movie,2014,9.0,tt10477926
39,Movie,Mantan Terindah,2014,11.0,tt10542054
40,Movie,Dos de Trébol,2014,9.0,tt10553836
41,Movie,Picture Perfect,2014,,tt10569508
42,Movie,7 Misi Rahasia Sophie,2014,2.0,tt10631062
43,Movie,Dee Saturday Night,2014,2.0,tt10635372
44,Movie,Boyhood,2014,7.0,tt1065073
45,Movie,Broker 2,2014,5.0,tt10655796
46,Movie,Bardo,2014,6.0,tt10672678
47,Movie,Biz babasiz büyüdük,2014,9.0,tt10699914
48,Movie,"12 Minds, A Star Trek Fan Film",2014,10.0,tt10732464
49,Movie,Sathiyo Chalyo Khodaldham,2014,7.0,tt10825282
50,Movie,A Girl from Dar Elsalam,2014,5.0,tt10851580
51,Movie,Mizhi Thurakku,2014,8.0,tt10897468
52,Movie,Dnevnik mamy pervoklassnika,2014,3.0,tt10919020
53,Movie,Plus jamais ça,2014,4.0,tt10926650
54,Movie,What Exactly is a Hipster...,2014,6.0,tt10928152
55,Movie,The Saklas's Last Words,2014,2.0,tt10928616
56,Movie,Amaneceres,2014,,tt10944106
57,Movie,Au Nord l'exilé,2014,2.0,tt10946200
58,Movie,Foxcatcher,2014,2.0,tt1100089
